,Airport,Degree,Strength,Cluster_Coefficient,Average Length,Max Length,EigenVector Centrality,Betweenness,PageRank
199,AVL,5,5.0,1.0,5.5068957,13.0,0.03229337,0.0,0.0001322235917770452
200,AVN,1,1.0,,5.28322669,12.0,0.01598316,0.0,6.234932833210316e-05
201,AVP,10,10.0,0.68888889,5.44152166,13.0,0.0562773,156.4604193078341,0.00023180563611932079
202,AWD,3,3.0,0.66666667,7.85328489,13.0,3.3e-06,0.5,0.00021768473365562377
203,AWZ,6,6.0,0.93333333,5.74396955,12.0,0.01578953,19.79774153964736,0.00018790710198490846
204,AXA,7,7.0,0.71428571,5.74928347,13.0,0.00922645,3.482427772022854,0.00020705240355335894
205,AXD,1,1.0,,5.42203555,12.0,0.0076845,0.0,6.473243916204277e-05
206,AXK,1,1.0,,6.41036545,13.0,0.00170658,0.0,6.422226298174026e-05
207,AXM,2,2.0,1.0,5.95931682,13.0,0.00275244,0.0,0.00010948892340399492
208,AXP,2,2.0,1.0,6.03713668,13.0,0.00248941,0.0,0.00012198791178005885
209,AXT,4,4.0,0.83333333,5.31972951,12.0,0.0141374,0.0425531914893617,0.00013855235711980282
210,AXU,2,2.0,0.0,7.27932239,14.0,6.117e-05,0.8333333333333333,0.00014863514291124427
211,AYP,2,2.0,1.0,5.96365178,13.0,0.00214526,0.0,0.0001261728991194217
212,AYQ,4,4.0,0.83333333,5.82123971,11.0,0.00274687,68.06494213261946,0.00019976011043743353
213,AYT,27,27.0,0.55840456,4.99798861,12.0,0.19432862,1066.9397455100898,0.0005407909165198
214,AZB,2,2.0,1.0,6.72759999,11.0,0.00015134,0.0,0.0001519225311885503
215,AZD,2,2.0,1.0,6.12621123,13.0,0.00474216,0.0,9.552623916985147e-05
216,AZN,3,3.0,0.66666667,5.41097203,12.0,0.01465135,1.1152321534674474,0.0001098899092756532
217,AZO,6,6.0,1.0,5.49429761,13.0,0.04829282,0.0,0.00015553195223352723
218,AZR,7,7.0,0.57142857,6.2296213,13.0,0.00477549,3616.8409090909095,0.000271862062051488
219,BAH,43,43.0,0.48283499,4.70411332,11.0,0.22180435,7929.709355090852,0.0009729876580699055
220,BAK,29,29.0,0.33004926,5.35714574,12.0,0.12209131,4216.950145050951,0.0006846032325265919
221,BAL,1,1.0,,6.28154956,13.0,0.00306243,0.0,6.922713109331792e-05
222,BAQ,12,12.0,0.45454545,5.8653916,13.0,0.01403009,714.479143705225,0.00046353437994209285
223,BAS,3,3.0,0.66666667,8.16962258,12.0,4.1e-07,0.5,0.0002647051237925615
224,BAU,4,4.0,0.66666667,5.77120933,13.0,0.00500786,0.8333333333333333,0.00018090236013772467
225,BAV,4,4.0,0.5,5.63774096,12.0,0.00955106,546.0393064503899,0.0001390694070976671
226,BAX,4,4.0,0.5,5.39544869,12.0,0.01573628,1.4390236956026428,0.00014944696869892218
227,BAY,3,3.0,0.66666667,6.37086641,13.0,0.00589367,0.3333333333333333,0.00013096868414218165
228,BBA,1,1.0,,7.65483458,15.0,3.148e-05,0.0,8.534470740924791e-05
229,BBI,6,6.0,0.6,5.72714033,12.0,0.00939421,100.224063304939,0.00021011535756963918
230,BBK,1,1.0,,6.65444454,13.0,0.00010456,0.0,8.726506850812314e-05
231,BBM,1,1.0,,6.34381615,12.0,0.00050209,0.0,7.439052254875117e-05
232,BBN,2,2.0,1.0,6.74517805,13.0,0.00010127,0.0,0.00013916411852405277
233,BBO,6,6.0,0.46666667,5.71293662,12.0,0.01228815,3178.6376295875175,0.0002361020144164851
234,BCA,2,2.0,1.0,5.82030361,13.0,0.00475345,0.0,9.122931017494464e-05
235,BCD,2,2.0,1.0,5.71378719,11.0,0.0026725,0.0,0.00011095103045071767
236,BCI,3,3.0,1.0,6.17671961,11.0,0.00096729,0.0,0.00018027793165554696
237,BCL,1,1.0,,6.62483524,14.0,0.00153095,0.0,7.612356125924727e-05
238,BCM,1,1.0,,6.07512601,13.0,0.00221227,0.0,6.197644991230955e-05
239,BCN,80,80.0,0.32848101,5.29630424,12.0,0.44507124,12636.351359091157,0.0016053466472291766
240,BCO,1,1.0,,7.27927448,14.0,3e-05,0.0,0.0001132287252152675
241,BCP,2,2.0,0.0,8.72429418,13.0,5e-08,15.45,0.00021255771660728002
242,BDA,8,8.0,1.0,5.00220432,12.0,0.08048578,0.0,0.00019085521093036869
243,BDB,5,5.0,0.5,6.17318718,11.0,0.00112626,2.333333333333333,0.000252756076715988
244,BDD,2,2.0,1.0,8.14265362,13.0,2.9e-07,0.0,0.0001681249913871037
245,BDH,3,3.0,1.0,6.74787894,13.0,0.00083667,0.0,0.00012155251606249865
246,BDJ,8,8.0,0.28571429,6.25146731,12.0,0.0015434,7733.376066266282,0.00041329537879838946
247,BDO,2,2.0,0.0,6.59959737,12.0,0.00033334,0.6666666666666666,0.00011275820766445023
248,BDQ,3,3.0,1.0,5.72447152,12.0,0.00818235,0.0,0.00011521787872913548
249,BDS,2,2.0,1.0,5.23631543,12.0,0.02275031,0.0,7.8317397333708e-05
250,BDU,4,4.0,1.0,6.25477981,13.0,0.00542118,0.0,0.00018693125026896656
251,BEB,3,3.0,0.66666667,6.06324181,13.0,0.00316456,0.5,0.000138377141363765
252,BED,4,4.0,1.0,5.52987267,13.0,0.02889413,0.0,0.00011268931537456626
253,BEG,33,33.0,0.6344697,5.35069235,12.0,0.26472904,5489.07090403579,0.0007199898374194275
254,BEI,2,2.0,1.0,7.2788454,14.0,3.225e-05,0.0,0.00015087972180616435
255,BEJ,3,3.0,0.66666667,7.75161026,13.0,4.67e-06,5.799999999999999,0.0002441235475891645
256,BEL,16,16.0,0.18333333,5.87723122,13.0,0.01188627,31901.956548914226,0.0007017820275670894
257,BEN,16,16.0,0.45833333,5.29369872,12.0,0.08043601,8823.94019736482,0.0004531347218962732
258,BER,89,89.0,0.32252298,5.37886145,12.0,0.47817598,10664.672319822601,0.0017273717237146606
259,BES,4,4.0,1.0,5.24815148,12.0,0.02519353,0.0,0.00011815841555016777
260,BET,30,30.0,0.03908046,5.72716219,13.0,0.00145499,109782.27380952377,0.002115259208366672
261,BEU,2,2.0,0.0,8.1840195,13.0,4.5e-07,2142.4293330124924,0.0002181287271726452
262,BEW,8,8.0,0.35714286,5.30522476,12.0,0.01190016,9370.64443852334,0.00032821013192286895
263,BEY,43,43.0,0.5503876,5.10322532,12.0,0.28581664,1716.9582521051454,0.0008899637382502349
264,BFD,1,1.0,,5.81740776,13.0,0.00708965,0.0,6.191188610022984e-05
265,BFF,1,1.0,,5.81798729,13.0,0.00609709,0.0,6.676016425412757e-05
266,BFL,4,4.0,1.0,5.15592107,12.0,0.02892129,0.0,0.0001227384315021268
267,BFN,4,4.0,1.0,5.69847192,12.0,0.00633766,0.0,0.00016919840133697875
268,BFQ,2,2.0,1.0,5.92126923,13.0,0.00193477,0.0,0.00012492897911210032
269,BFS,18,18.0,0.4379085,5.09735607,12.0,0.06566068,343.38029791668356,0.0003963865075431155
270,BFV,1,1.0,,5.77286488,12.0,0.00585118,0.0,6.700168071594107e-05
271,BGA,6,6.0,0.66666667,5.95841804,13.0,0.00316182,3.3333333333333326,0.0002620173465532027
272,BGF,5,5.0,0.5,6.23485886,13.0,0.00284523,80.03470959478958,0.00019047340531539169
273,BGI,16,16.0,0.475,4.94752163,12.0,0.07632321,2386.9890547710897,0.0003967508272729718
274,BGM,9,9.0,0.80555556,5.62503071,13.0,0.05850882,39.47032736105703,0.00021352206959304563
275,BGO,18,18.0,0.25490196,5.21676698,12.0,0.06307486,9272.102538101422,0.000596050374758712
276,BGR,8,8.0,0.60714286,5.56076041,13.0,0.04691529,230.03080505640605,0.00021798008278193668
277,BHB,2,2.0,1.0,5.67877322,13.0,0.00791982,0.0,0.00010245724848556117
278,BHE,3,3.0,1.0,5.85726691,12.0,0.00149062,0.0,0.00015081044183591736
279,BHG,2,2.0,1.0,7.57713654,15.0,4.257e-05,0.0,0.00016317652374234776
280,BHH,3,3.0,1.0,5.61956998,12.0,0.00879087,0.0,0.00011812285414821359
281,BHI,4,4.0,0.66666667,5.58823033,13.0,0.00340617,2.4249084249084256,0.00020261155268025435
